Cordelia Hotel is situated in Tbilisi, a 3-minute walk away from Saint Trinity Church.	Отель Cordelia расположен в Тбилиси, в 3 минутах ходьбы от Свято-Троицкого собора.
At Tupirmarka Lodge you will find a 24-hour front desk, room service, and a snack bar.	В числе удобств лоджа Tupirmarka круглосуточная стойка регистрации и снэк-бар. Гости могут воспользоваться услугой доставки еды и напитков в номер.
Featuring free WiFi in all areas, Naigao Xiaowo offers accommodation in Shanghai.	Апартаменты Naigao Xiaowo расположены в городе Шанхай. К услугам гостей бесплатный Wi-Fi во всех зонах.
Each has a TV and a private bathroom with shower.	В вашем распоряжении также телевизор и собственная ванная комната с душем.
Your room comes with air conditioning and satellite TV.	Номер оснащен кондиционером и спутниковым телевидением.
They are styled in cream-coloured hues and some of them feature private balconies with seating areas.	Они оформлены в кремовых тонах, в некоторых из них имеются отдельные балконы с гостиной зоной.
The reception team can help guests plan sightseeing trips.	Сотрудники стойки регистрации с радостью помогут гостям спланировать экскурсии.
Some units include a seating area for your convenience.	В числе удобств некоторых номеров — гостиная зона.
Nieuwmarkt as well as Kalverstraat, Hermitage and Rembrandtplein are within 15 minutes walking.	До площади Ниумаркт, торговой улицы Калверштрат, музея Эрмитаж на Амстеле и площади Рембрандта можно дойти менее чем за 15 минут.
The Danube Delta is a natural reserve where you can go fishing, bird watching, take boat rides or simply unwind surrounded by nature.	Дельта Дуная является природным заповедником, в котором можно заняться рыбной ловлей, понаблюдать за птицами, покататься на лодке или просто расслабиться в окружении природы.
The air-conditioned rooms offer a flat-screen TV with cable channels, a desk, fan and seating area.	Номера оснащены кондиционером, телевизором с плоским экраном и кабельными каналами, письменным столом, вентилятором и гостиной зоной.
Each apartment is fitted with a balcony, flat-screen cable TV and safety deposit box.	Каждые апартаменты располагают балконом, сейфом и телевизором с плоским экраном и кабельными каналами.
Located 500 metres from Church of the Savior on Spilled Blood in Saint Petersburg, this apartment features free WiFi. The apartment is 700 metres from Palace Square.	Эти апартаменты с бесплатным Wi-Fi расположены в Санкт-Петербурге, в 500 метрах от храма Спаса-на-Крови и в 700 метрах от Дворцовой площади.
The kitchen includes a dishwasher and oven.	На кухне установлены посудомоечная машина и духовой шкаф.
An array of activities can be enjoyed on site or in the surroundings, including skiing, cycling and horse riding.	Территория и окрестности отлично подходят для активного отдыха, в том числе лыжного спорта, велосипедных прогулок и верховой езды.
Free WiFi is accessible throughout the premises.	На всей территории работает бесплатный Wi-Fi.
They include flat-screen satellite TV, a safe and en-suite bathroom with hairdryer.	В них также имеются такие удобства, как телевизор с плоским экраном и спутниковыми каналами, сейф и ванная комната с феном.
Free WiFi access is available in all areas.	На всей территории работает бесплатный Wi-Fi.
Valledoria is a 17-minute drive from the property, and Porto Torres is 34 km away.	Отель находится в 17 минутах езды от городка Валледории и в 34 км от города Порто-Торреса.
Towels and bed linen are provided in this self-catering accommodation.	Предоставляются полотенца и постельное белье.
The spa offers massages with a view of the sea, a fitness room and aqua gym.	В спа-центре предлагается массаж с видом на море, а также можно посетить фитнес-зал и аквааэробику.
Paignton Bus and Rail Station is only 5 minutes away on foot, and Paignton Pier can be reached in less than a 5-minute walk.	Гостевой дом находится всего в 5 минутах ходьбы от автобусного и железнодорожного вокзалов Пейнтона и менее чем в 5 минутах ходьбы от пристани Пейнтона.
A flat-screen TV is offered.	В числе прочих удобств -— телевизор с плоским экраном.
Organic, locally sourced ingredients are blended in the Mediterranean dishes of its stylish restaurant.	В стильном ресторане отеля подают блюда средиземноморской кухни из органических местных продуктов.
Each room at Sport Hotel comes with a TV with cable channels and a private bathroom with a shower.	Каждый номер в отеле Sport оснащен телевизором с кабельными каналами. В собственной ванной комнате можно принять душ.
Featuring a well-maintained garden, Emerald Residency offers luggage storage and car rental facilities. A tour desk and business centre are also present.	Помимо прочего, разбит ухоженный сад. В гостевом доме Emerald Residency имеется место хранения багажа и работает прокат автомобилей, экскурсионное бюро и бизнес-центр.
Guests can unwind in indoor and outdoor hot spring baths.	Гости могут посетить купальни с водой из горячих источников в помещении и на открытом воздухе.
The apartment features chic décor, high ceilings and a balcony with sea views.	В этих апартаментах с высоким потолком и роскошным декором есть балкон с видом на море.
You can engage in various activities, such as horse riding, windsurfing and cycling.	В окрестностях есть все условия для активного отдыха, включая виндсерфинг, верховую езду и велосипедные прогулки.
Breakfast is served in the garden, in the rooms or in the dining area.	Завтрак сервируют в саду, в номерах или в обеденной зоне.
A dishwasher is also available.	Также установлена посудомоечная машина.
Macedonia International Airport is 130 km away.	Расстояние до международного аэропорта «Македония» составляет 130 км.
All units also include a private bathroom with shower equipped with a hairdryer.	Все номера располагают собственной ванной комнатой с душем и феном.
Guest House Jam features free WiFi throughout the property.	На всей территории гостевого дома Jam работает бесплатный Wi-Fi.
Free private parking is available on site.	На территории обустроена бесплатная частная парковка.
There is also a terrace.	Кроме того, обустроена терраса.
Located on the 4th floor with no lift, this apartment features a kitchenette is fitted with a dishwasher and a microwave, as well as a coffee machine and a kettle.	Апартаменты находятся на 5 этаже здания без лифта. В числе удобств мини-кухня с посудомоечной машиной, микроволновой печью, кофемашиной и чайником.
The beach in Canneto is 15 minutes' drive away.	Поездка до пляжа Каннето занимает 15 минут.
Other facilities offered include a shared lounge and a games room.	Гости могут посетить общий лаундж и игровую комнату.
There is also a floral garden and a children’s playground.	Возле отеля разбит сад с цветниками, и обустроена детская игровая площадка.
Apartments at La Ferula come with a flat-screen TV, kitchen and dining area.	Апартаменты комплекса La Ferula располагают телевизором с плоским экраном, кухней и обеденной зоной.
A selection of restaurants and bars are located in the surrounding streets.	На близлежащих улицах открыто множество разнообразных ресторанов и баров.
Apache Gold Casino is 5 minutes’ drive from the hotel.	Поездка до казино Apache Gold занимает 5 минут.
Staff can arrange boat trips around the Gulf of Trieste.	Персонал может организовать экскурсии на корабле вокруг залива Триеста.
Located opposite the Hartford-Brainard Airport, this Days Inn Hartford is 6 minutes’ drive from the Connecticut Convention Center and Trinity College is 3 miles away.	Отель Days Inn Hartford находится напротив аэропорта Хартфорд-Брейнард, в 6 минутах езды от конгресс-центра Коннектикута и в 4,8 км от Тринити-колледжа.
Rooms include a private bathroom equipped with shower and free toiletries.	К услугам гостей собственная ванная комната с душем и бесплатными туалетно-косметическими принадлежностями.
Pueblo Antiguo and Café Britt coffee plantation are a 10-minute drive from the hotel, and the Poas Volcano is a 40-minute drive away.	Отель Country Inns & Suites by Carlson расположен в 40 минутах езды от вулкана Поас и в 10 минутах езды от парка Пуэбло Антигуо и кофейной плантации Кафе-Бритт.
At a surcharge guests can have breakfast at Meriton Old Town Garden Cafe which is located next door.	За отдельную плату для гостей сервируют завтрак в соседнем кафе Meriton Old Town Garden.
Simferopol Airport is 70 km away.	Расстояние до аэропорта Симферополь составляет 70 км.
Breakfast is served daily in a café just 20 metres from the hotel.	Завтрак подается каждый день в кафе всего в 20 метрах от отеля.
Mobile homes are modern and come with a bathroom with shower.	В современных передвижных домах также имеется ванная комната с душем.
At Riverside Garden Villas, you will find a hot tub, a 24-hour front desk and a peaceful garden.	В комплексе вилл Riverside Garden в распоряжении гостей гидромассажная ванна, круглосуточная стойка регистрации и тихий сад.
Restaurants and a supermarket are 1 km away.	В 1 км от апартаментов работают рестораны и супермаркет.
The island’ port is accessible within a short drive and Naxos National Airport is approximately 3 km away.	Поездка от гостевого дома до порта острова займет несколько минут, а Национальный аэропорт Наксоса находится примерно в 3 км.
Appartement CA200 in Cannes is located just 500 metres from the beach and features a terrace and garden.	Апартаменты CA200 расположены в Каннах, всего в 500 метрах от пляжа. К услугам гостей терраса и сад.
With a Moroccan-style décor, all the air-conditioned rooms at Riad Rime offer a TV and a wardrobe. A private bathroom with a shower is also provided.	В распоряжении гостей каждого оформленного в марокканском стиле номера риада Rime — кондиционер, телевизор, шкаф для одежды и собственная ванная комната с душем.
Ski Lodge is a holiday home located in the centre of Brides-les-Bains, a 2-minute walk from Olympe Gondola.	Дом для отпуска Ski Lodge находится в центре горнолыжного курорта Брид-ле-Бен, в 2 минутах ходьбы от гондольного подъемника Олимп.
